Pos,Driver,AUS R1,CHN R1,JPN R1,BHR R1,SAU R1,MIA R1,EMI R1,MON R1,ESP R1,CAN R1,AUT R1,GBR R1,BEL R1,HUN R1,NED R1,ITA R1,AZE R1,SIN R1,USA R1,MXC R1,SAP R1,LVG R1,QAT R1,ABU R1,Points
1,Lando Norris,1,2,2,3,4,2,2,1,2,18,1,1,2,1,18,2,7,3,2,1,1,DSQ,4,,408
2,Max Verstappen,2,4,1,6,2,4,1,4,10,2,Ret,5,4,9,2,1,1,2,1,3,3,1,1,,396
3,Oscar Piastri,9,1,3,1,1,1,3,3,1,4,2,2,1,2,1,3,Ret,4,5,5,5,DSQ,2,,392
4,George Russell,3,3,5,2,5,3,7,11,4,1,5,10,5,3,4,5,2,1,6,7,4,2,6,,309
5,Charles Leclerc,8,DSQ,4,4,3,7,6,2,3,5,3,14,3,4,Ret,4,9,6,3,2,Ret,4,8,,230
6,Lewis Hamilton,10,DSQ,7,5,7,8,4,5,6,6,4,4,7,12,Ret,6,8,8,4,8,Ret,8,12,,152
7,Kimi Antonelli,4,6,6,11,6,6,Ret,18,Ret,3,Ret,Ret,16,10,16,9,4,5,13,6,2,3,5,,150
8,Alexander Albon,5,7,9,12,9,5,5,9,Ret,Ret,Ret,8,6,15,5,7,13,14,14,12,11,Ret,14,,73
9,Carlos Sainz Jr.,Ret,10,14,Ret,8,9,8,10,14,10,DNS,12,18,14,13,11,3,10,Ret,17,13,5,3,,64
10,Isack Hadjar,DNS,11,8,13,10,11,9,6,7,16,12,Ret,20,11,3,10,10,11,16,13,8,6,18,,51
11,Nico Hülkenberg,7,15,16,DSQ,15,14,12,16,5,8,9,3,12,13,14,DNS,16,20,8,Ret,9,7,Ret,,49
12,Fernando Alonso,Ret,Ret,11,15,11,15,11,Ret,9,7,7,9,17,5,8,Ret,15,7,10,Ret,14,11,7,,48
13,Oliver Bearman,14,8,10,10,13,Ret,17,12,17,11,11,11,11,Ret,6,12,12,9,9,4,6,10,Ret,,41
14,Liam Lawson,Ret,12,17,16,12,Ret,14,8,11,Ret,6,Ret,8,8,12,14,5,15,11,Ret,7,14,9,,38
15,Yuki Tsunoda,12,16,12,9,Ret,10,10,17,13,12,16,15,13,17,9,13,6,12,7,11,17,12,10,,33
16,Esteban Ocon,13,5,18,8,14,12,Ret,7,16,9,10,13,15,16,10,15,14,18,15,9,12,9,15,,32
17,Lance Stroll,6,9,20,17,16,16,15,15,WD,17,14,7,14,7,7,18,17,13,12,14,16,Ret,17,,32
18,Pierre Gasly,11,DSQ,13,7,Ret,13,13,Ret,8,15,13,6,10,19,17,16,18,19,19,15,10,13,16,,22
19,Gabriel Bortoleto,Ret,14,19,18,18,Ret,18,14,12,14,8,Ret,9,6,15,8,11,17,18,10,Ret,Ret,13,,19
20,Franco Colapinto,,,,,,,16,13,15,13,15,DNS,19,18,11,17,19,16,17,16,15,15,14,,0
21,Jack Doohan,Ret,13,15,14,17,Ret,,,,,,,,,,,,,,,,,,,0
