Pos,Driver,AUS R1,CHN R1,JPN R1,MIA R1,CAN R1,MON R1,BCN R1,AUT R1,GBR R1,BEL R1,HUN R1,NED R1,ITA R1,ESP R1,AZE R1,SIN R1,USA R1,MXC R1,SAP R1,LVG R1,QAT R1,ABU R1,Points
1,Kimi Antonelli,2,1,1,,,,,,,,,,,,,,,,,,,,72
2,George Russell,1,2Race: 2; Sprint: 1,4,,,,,,,,,,,,,,,,,,,,63
3,Charles Leclerc,3,4Race: 4; Sprint: 2,3,,,,,,,,,,,,,,,,,,,,49
4,Lewis Hamilton,4,3Race: 3; Sprint: 3,6,,,,,,,,,,,,,,,,,,,,41
5,Lando Norris,5,DNSRace: DNS; Sprint: 4,5,,,,,,,,,,,,,,,,,,,,25
6,Oscar Piastri,DNS,DNSRace: DNS; Sprint: 6,2,,,,,,,,,,,,,,,,,,,,21
7,Oliver Bearman,7,5Race: 5; Sprint: 8,Ret,,,,,,,,,,,,,,,,,,,,17
8,Pierre Gasly,10,6,7,,,,,,,,,,,,,,,,,,,,15
9,Max Verstappen,6,Ret,8,,,,,,,,,,,,,,,,,,,,12
10,Liam Lawson,13,7Race: 7; Sprint: 7,9,,,,,,,,,,,,,,,,,,,,10
11,Arvid Lindblad,8,12,14,,,,,,,,,,,,,,,,,,,,4
12,Isack Hadjar,Ret,8,12,,,,,,,,,,,,,,,,,,,,4
13,Gabriel Bortoleto,9,DNS,13,,,,,,,,,,,,,,,,,,,,2
14,Carlos Sainz Jr.,15,9,15,,,,,,,,,,,,,,,,,,,,2
15,Esteban Ocon,11,14,10,,,,,,,,,,,,,,,,,,,,1
16,Franco Colapinto,14,10,16,,,,,,,,,,,,,,,,,,,,1
17,Nico Hülkenberg,DNS,11,11,,,,,,,,,,,,,,,,,,,,0
18,Alexander Albon,12,DNS,20,,,,,,,,,,,,,,,,,,,,0
19,Valtteri Bottas,Ret,13,19,,,,,,,,,,,,,,,,,,,,0
20,Sergio Pérez,16,15,17,,,,,,,,,,,,,,,,,,,,0
21,Fernando Alonso,Ret,Ret,18,,,,,,,,,,,,,,,,,,,,0
22,Lance Stroll,NC,Ret,Ret,,,,,,,,,,,,,,,,,,,,0
