Pos,Team,AUS R1,CHN R1,JPN R1,MIA R1,CAN R1,MON R1,BCN R1,AUT R1,GBR R1,BEL R1,HUN R1,NED R1,ITA R1,ESP R1,AZE R1,SIN R1,USA R1,MXC R1,SAP R1,LVG R1,QAT R1,ABU R1,Points
1,Mercedes,1,1,1,1,,,,,,,,,,,,,,,,,,,180
1,Mercedes,2,2Race: 2; Sprint: 1,4,4Race: 4; Sprint: 4,,,,,,,,,,,,,,,,,,,180
2,Ferrari,3,3Race: 3; Sprint: 3,3,6Race: 6; Sprint: 7,,,,,,,,,,,,,,,,,,,110
2,Ferrari,4,4Race: 4; Sprint: 2,6,8Race: 8; Sprint: 3,,,,,,,,,,,,,,,,,,,110
3,McLaren - Mercedes,5,DNSRace: DNS; Sprint: 4,2,2,,,,,,,,,,,,,,,,,,,94
3,McLaren - Mercedes,DNS,DNSRace: DNS; Sprint: 6,5,3Race: 3; Sprint: 2,,,,,,,,,,,,,,,,,,,94
4,Red Bull Racing - Red Bull Ford,6,8,8,5Race: 5; Sprint: 5,,,,,,,,,,,,,,,,,,,30
4,Red Bull Racing - Red Bull Ford,Ret,Ret,12,Ret,,,,,,,,,,,,,,,,,,,30
5,Alpine - Mercedes,10,6,7,7,,,,,,,,,,,,,,,,,,,23
5,Alpine - Mercedes,14,10,16,RetRace: Ret; Sprint: 8,,,,,,,,,,,,,,,,,,,23
6,Haas - Ferrari,7,5Race: 5; Sprint: 8,10,11,,,,,,,,,,,,,,,,,,,18
6,Haas - Ferrari,11,14,Ret,13,,,,,,,,,,,,,,,,,,,18
7,Racing Bulls - Red Bull Ford,8,7Race: 7; Sprint: 7,9,14,,,,,,,,,,,,,,,,,,,14
7,Racing Bulls - Red Bull Ford,13,12,14,Ret,,,,,,,,,,,,,,,,,,,14
8,Atlassian Williams - Mercedes,12,9,15,9,,,,,,,,,,,,,,,,,,,5
8,Atlassian Williams - Mercedes,15,DNS,20,10,,,,,,,,,,,,,,,,,,,5
9,Audi,9,11,11,12,,,,,,,,,,,,,,,,,,,2
9,Audi,DNS,DNS,13,Ret,,,,,,,,,,,,,,,,,,,2
10,Cadillac - Ferrari,16,13,17,16,,,,,,,,,,,,,,,,,,,0
10,Cadillac - Ferrari,Ret,15,19,18,,,,,,,,,,,,,,,,,,,0
11,Aston Martin Aramco - Honda,NC,Ret,18,15,,,,,,,,,,,,,,,,,,,0
11,Aston Martin Aramco - Honda,Ret,Ret,Ret,17,,,,,,,,,,,,,,,,,,,0
