Pos,Driver,ALB SR,ALB FR,MIA FR,MIA SR,MTL SR,MTL FR,MON FR,MON SR,CAT SR,CAT FR,RBR FR,RBR SR,SIL SR,SIL FR,SPA FR,SPA SR,HUN SR,HUN FR,MNZ FR,MNZ SR,MAD SR,MAD FR,BAK FR,BAK SR,LUS SR,LUS FR,YAS FR,YAS SR,Points
1,Nikola Tsolov,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,25
2,Rafael Câmara,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,18
3,Laurens van Hoepen,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,18
4,Ritomo Miyata,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,14
5,Tasanapol Inthraphuvasak,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,13
6,Oliver Goethe,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,12
7,Joshua Dürksen,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,11
8,Noel León,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,8
9,Gabriele Minì,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,7
10,Alex Dunne,3,Ret,,,,,,,,,,,,,,,,,,,,,,,,,,,6
11,Colton Herta,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,6
12,Sebastián Montoya,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,2
13,Dino Beganovic,20,Ret,,,,,,,,,,,,,,,,,,,,,,,,,,,2
14,Roman Bilinski,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1
15,Martinius Stenshorne,10,Ret,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16,Rafael Villagómez,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,Kush Maini,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,Mari Boya,Ret,13,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,Emerson Fittipaldi Jr.,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,John Bennett,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,Nico Varrone,21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,Cian Shields,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,0
