Pos.,No.,Driver,Team,Time,Grid
1,7,Dino Beganovic,DAMS Lucas Oil,1:28.695,1
2,14,Martinius Stenshorne,Rodin Motorsport,1:28.911,2
3,15,Alex Dunne,Rodin Motorsport,1:29.039,3
4,5,Noel León,Campos Racing,1:29.076,4
5,6,Nikola Tsolov,Campos Racing,1:29.123,5
6,1,Rafael Câmara,Invicta Racing,1:29.143,6
7,16,Kush Maini,ART Grand Prix,1:29.159,7
8,10,Oliver Goethe,MP Motorsport,1:29.254,8
9,2,Joshua Dürksen,Invicta Racing,1:29.484,9
10,17,Tasanapol Inthraphuvasak,ART Grand Prix,1:29.541,10
11,24,Laurens van Hoepen,Trident,1:29.564,11
12,8,Roman Bilinski,DAMS Lucas Oil,1:29.605,12
13,3,Ritomo Miyata,HitechTGR,1:29.640,13
14,4,Colton Herta,HitechTGR,1:29.765,14
15,11,Sebastián Montoya,Prema Racing,1:29.824,15
16,23,Rafael Villagómez,Van Amersfoort Racing,1:30.062,16
17,25,John Bennett,Trident,1:30.239,17
18,20,Emerson Fittipaldi Jr.,AIX Racing,1:30.490,18
19,22,Nicolás Varrone,Van Amersfoort Racing,1:30.522,19
20,21,Cian Shields,AIX Racing,1:30.743,20
21,9,Gabriele Minì,MP Motorsport,1:31.133,21
—,12,Mari Boya,Prema Racing,2:02.893,22
