Pos,Driver,ALB SR,ALB FR,MON FR,MON SR,CAT SR,CAT FR,RBR FR,RBR SR,SIL SR,SIL FR,SPA FR,SPA SR,HUN SR,HUN FR,MNZ FR,MNZ SR,MAD SR,MAD FR,Points
1,Ugo Ugochukwu,8,1,,,,,,,,,,,,,,,,,25
2,Bruno del Pino,1,4,,,,,,,,,,,,,,,,,18
3,Freddie Slater,9,2,,,,,,,,,,,,,,,,,18
4,Taito Kato,5,3,,,,,,,,,,,,,,,,,16
5,Enzo Deligny,2,6,,,,,,,,,,,,,,,,,12
6,Maciej Gładysz,6,5,,,,,,,,,,,,,,,,,10
7,Brad Benavides,17,7,,,,,,,,,,,,,,,,,6
8,Pedro Clerot,14,8,,,,,,,,,,,,,,,,,4
9,Brando Badoer,3,16,,,,,,,,,,,,,,,,,3
10,Noah Strømsted,4,23,,,,,,,,,,,,,,,,,2
11,Jin Nakamura,13,9,,,,,,,,,,,,,,,,,2
12,Théophile Naël,10,12,,,,,,,,,,,,,,,,,2
13,Mattia Colnaghi,30,10,,,,,,,,,,,,,,,,,1
14,James Wharton,7,WD,,,,,,,,,,,,,,,,,0
15,Hiyu Yamakoshi,20,11,,,,,,,,,,,,,,,,,0
16,Nicola Lacorte,11,25,,,,,,,,,,,,,,,,,0
17,Tuukka Taponen,12,13,,,,,,,,,,,,,,,,,0
18,Fionn McLaughlin,15,14,,,,,,,,,,,,,,,,,0
19,Alessandro Giusti,21,15,,,,,,,,,,,,,,,,,0
20,Louis Sharp,16,WD,,,,,,,,,,,,,,,,,0
21,Patrick Heuzenroeder,23,17,,,,,,,,,,,,,,,,,0
22,Christian Ho,18,21,,,,,,,,,,,,,,,,,0
23,Fernando Barrichello,27,18,,,,,,,,,,,,,,,,,0
24,Gerrard Xie,19,19,,,,,,,,,,,,,,,,,0
25,Yevan David,22,20,,,,,,,,,,,,,,,,,0
26,Matteo De Palo,26,22,,,,,,,,,,,,,,,,,0
27,José Garfias,24,24,,,,,,,,,,,,,,,,,0
28,Michael Shin,25,Ret,,,,,,,,,,,,,,,,,0
29,Kanato Le,28,Ret,,,,,,,,,,,,,,,,,0
30,Nandhavud Bhirombhakdi,29,Ret,,,,,,,,,,,,,,,,,0
