Pos,Team,ALB SR,ALB FR,MON FR,MON SR,CAT SR,CAT FR,RBR FR,RBR SR,SIL SR,SIL FR,SPA FR,SPA SR,HUN SR,HUN FR,MNZ FR,MNZ SR,MAD SR,MAD FR,Points
1,Van Amersfoort Racing,1,4,,,,,,,,,,,,,,,,,30
1,Van Amersfoort Racing,2,6,,,,,,,,,,,,,,,,,30
1,Van Amersfoort Racing,20,11,,,,,,,,,,,,,,,,,30
2,Campos Racing,8,1,,,,,,,,,,,,,,,,,27
2,Campos Racing,10,12,,,,,,,,,,,,,,,,,27
2,Campos Racing,23,17,,,,,,,,,,,,,,,,,27
3,ART Grand Prix,5,3,,,,,,,,,,,,,,,,,26
3,ART Grand Prix,6,5,,,,,,,,,,,,,,,,,26
3,ART Grand Prix,28,Ret,,,,,,,,,,,,,,,,,26
4,Trident,4,2,,,,,,,,,,,,,,,,,20
4,Trident,9,22,,,,,,,,,,,,,,,,,20
4,Trident,26,23,,,,,,,,,,,,,,,,,20
5,Rodin Motorsport,3,8,,,,,,,,,,,,,,,,,7
5,Rodin Motorsport,14,16,,,,,,,,,,,,,,,,,7
5,Rodin Motorsport,18,21,,,,,,,,,,,,,,,,,7
6,AIX Racing,17,7,,,,,,,,,,,,,,,,,6
6,AIX Racing,22,18,,,,,,,,,,,,,,,,,6
6,AIX Racing,27,20,,,,,,,,,,,,,,,,,6
7,Hitech,13,9,,,,,,,,,,,,,,,,,2
7,Hitech,15,14,,,,,,,,,,,,,,,,,2
7,Hitech,25,Ret,,,,,,,,,,,,,,,,,2
8,MP Motorsport,12,10,,,,,,,,,,,,,,,,,1
8,MP Motorsport,21,13,,,,,,,,,,,,,,,,,1
8,MP Motorsport,30,15,,,,,,,,,,,,,,,,,1
9,Prema Racing,7,24,,,,,,,,,,,,,,,,,0
9,Prema Racing,16,WD,,,,,,,,,,,,,,,,,0
9,Prema Racing,24,WD,,,,,,,,,,,,,,,,,0
10,DAMS Lucas Oil,11,19,,,,,,,,,,,,,,,,,0
10,DAMS Lucas Oil,19,25,,,,,,,,,,,,,,,,,0
10,DAMS Lucas Oil,29,Ret,,,,,,,,,,,,,,,,,0
