Driver,Year
Gabriele Minì,2023
Gabriele Minì,2024
Gabriele Minì,2025
Kush Maini,2023
Kush Maini,2024
Kush Maini,2025
Kabir Anurag,2024
Kabir Anurag,2025
Nicola Lacorte,2024
Nicola Lacorte,2025
Keanu Al Azhari,2025
Nina Gademan,2025
Ilie Tristan Crisan,2025
Sukhmani Kaur Khera,2025
Fabio Carbone,2002
Robert Kubica,2002
Tiago Monteiro,2002
Carlo van Dam,2002
Eric Salignon,2002
Eric Salignon,2003
Danny Watts,2003
José María López,2003
José María López,2004
José María López,2005
José María López,2006
Giedo van der Garde,2004
Loïc Duval,2004
Loïc Duval,2005
Pastor Maldonado,2004
Pastor Maldonado,2005
Jérôme d'Ambrosio,2004
Jérôme d'Ambrosio,2010
Lucas di Grassi,2005
Lucas di Grassi,2006
Lucas di Grassi,2007
Ben Hanley,2006
Ben Hanley,2007
Ben Hanley,2008
Dani Clos,2007
Nelson Panciatici,2007
Charles Pic,2009
Marco Sørensen,2009
Davide Valsecchi,2009
Jan Charouz,2010
Jan Charouz,2011
Ho-Pin Tung,2010
Ho-Pin Tung,2011
Fairuz Fauzy,2011
Heikki Kovalainen,2002
Heikki Kovalainen,2003
Heikki Kovalainen,2004
Heikki Kovalainen,2005
Romain Grosjean,2006
Romain Grosjean,2007
Romain Grosjean,2008
Romain Grosjean,2009
Jack Doohan,2022
Jack Doohan,2023
Jack Doohan,2024
