Driver,Year
Dino Beganovic,2020
Dino Beganovic,2021
Dino Beganovic,2022
Dino Beganovic,2023
Dino Beganovic,2024
Dino Beganovic,2025
Maya Weug,2021
Maya Weug,2022
Maya Weug,2023
Maya Weug,2024
Maya Weug,2025
Rafael Câmara,2021
Rafael Câmara,2022
Rafael Câmara,2023
Rafael Câmara,2024
Rafael Câmara,2025
Tuukka Taponen,2023
Tuukka Taponen,2024
Tuukka Taponen,2025
Aurelia Nobels,2023
Aurelia Nobels,2024
Aurelia Nobels,2025
Noah Baglin,2025
Filippo Sala,2025
Mirko Bortolotti,2010
Daniel Zampieri,2010
Brandon Maïsano,2010
Brandon Maïsano,2011
Brandon Maïsano,2012
Lance Stroll,2010
Lance Stroll,2011
Lance Stroll,2012
Lance Stroll,2013
Lance Stroll,2014
Lance Stroll,2015
Raffaele Marciello,2010
Raffaele Marciello,2011
Raffaele Marciello,2012
Raffaele Marciello,2013
Raffaele Marciello,2014
Raffaele Marciello,2015
Antonio Fuoco,2012
Antonio Fuoco,2013
Antonio Fuoco,2014
Antonio Fuoco,2015
Antonio Fuoco,2016
Antonio Fuoco,2017
Antonio Fuoco,2018
Zhou Guanyu,2014
Zhou Guanyu,2015
Zhou Guanyu,2016
Zhou Guanyu,2017
Zhou Guanyu,2018
Giuliano Alesi,2016
Giuliano Alesi,2017
Giuliano Alesi,2018
Giuliano Alesi,2019
Giuliano Alesi,2020
Gianluca Petecof,2017
Gianluca Petecof,2018
Gianluca Petecof,2019
Gianluca Petecof,2020
Enzo Fittipaldi,2017
Enzo Fittipaldi,2018
Enzo Fittipaldi,2019
Enzo Fittipaldi,2020
Marcus Armstrong,2017
Marcus Armstrong,2018
Marcus Armstrong,2019
Marcus Armstrong,2020
Marcus Armstrong,2021
Callum Ilott,2017
Callum Ilott,2018
Callum Ilott,2019
Callum Ilott,2020
Callum Ilott,2021
/Robert Shwartzman,2017
/Robert Shwartzman,2018
/Robert Shwartzman,2019
/Robert Shwartzman,2020
/Robert Shwartzman,2021
/Robert Shwartzman,2022
Arthur Leclerc,2020
Arthur Leclerc,2021
Arthur Leclerc,2022
Arthur Leclerc,2023
James Wharton,2021
James Wharton,2022
James Wharton,2023
Laura Camps Torras,2022
Maria Germano Neto,2022
Jules Bianchi,2009
Jules Bianchi,2010
Jules Bianchi,2011
Jules Bianchi,2012
Jules Bianchi,2013
Jules Bianchi,2014
Sergio Pérez,2010
Sergio Pérez,2011
Sergio Pérez,2012
Charles Leclerc,2016
Charles Leclerc,2017
Charles Leclerc,2018
Mick Schumacher,2019
Mick Schumacher,2020
Mick Schumacher,2021
Mick Schumacher,2022
Oliver Bearman,2022
Oliver Bearman,2023
Oliver Bearman,2024
Oliver Bearman,2025
