Driver,Year
Pato O'Ward,2023
Pato O'Ward,2024
Pato O'Ward,2025
Dries Van Langendonck,2024
Dries Van Langendonck,2025
Ella Lloyd,2025
Wesley Graves,1998
Nicolas Minassian,1998
Norman Simon,1998
Ricardo Zonta,1998
Nick Heidfeld,1998
Nick Heidfeld,1999
Mário Haberfeld,1999
Cheng Congfu,2003
Cheng Congfu,2004
Cheng Congfu,2005
Cheng Congfu,2006
Giedo van der Garde,2006
Oliver Rowland,2007
Oliver Rowland,2008
Oliver Rowland,2009
Oliver Rowland,2010
Alexander Albon,2010
Jack Harvey,2010
Petri Suvanto,2010
Oliver Turvey,2010
Oliver Turvey,2011
Ben Barnicoat,2010
Ben Barnicoat,2011
Ben Barnicoat,2012
Ben Barnicoat,2013
Ben Barnicoat,2014
Ben Barnicoat,2015
Nyck de Vries,2010
Nyck de Vries,2011
Nyck de Vries,2012
Nyck de Vries,2013
Nyck de Vries,2014
Nyck de Vries,2015
Nyck de Vries,2016
Nyck de Vries,2017
Nyck de Vries,2018
Tom Blomqvist,2012
Andrew Tang,2012
Nobuharu Matsushita,2015
Nobuharu Matsushita,2016
Nobuharu Matsushita,2017
Nirei Fukuzumi,2016
Nirei Fukuzumi,2017
Sérgio Sette Câmara,2019
Ugo Ugochukwu,2021
Ugo Ugochukwu,2022
Ugo Ugochukwu,2023
Ugo Ugochukwu,2024
Ugo Ugochukwu,2025
Álex Palou,2023
Gabriel Bortoleto,2023
Gabriel Bortoleto,2024
Ryō Hirakawa,2023
Ryō Hirakawa,2024
Bianca Bustamante,2024
Alex Dunne,2024
Alex Dunne,2025
Martinius Stenshorne,2024
Martinius Stenshorne,2025
Brando Badoer,2025
Lewis Hamilton,Lewis Hamilton
Kevin Magnussen,Kevin Magnussen
Stoffel Vandoorne,Stoffel Vandoorne
Lando Norris,Lando Norris
