Driver,Year
Emma Felbermayr,2025
Callum Ilott,2019
Lirim Zendeli,2019
Fabio Scherer,2019
Raoul Hyman,2019
Arthur Leclerc,2019
Roman Staněk,2019
Alessandro Ghiretti,2019
Stuart White,2019
Joshua Dufek,2019
Christian Ho,2019
Christian Ho,2020
Christian Ho,2021
Dexter Patterson,2019
Dexter Patterson,2020
Dexter Patterson,2021
Juan Manuel Correa,2019
Juan Manuel Correa,2021
Théo Pourchaire,2019
Théo Pourchaire,2020
Théo Pourchaire,2021
Théo Pourchaire,2022
Théo Pourchaire,2023
Théo Pourchaire,2024
Petr Ptáček,2020
Harry Thompson,2020
Piotr Czaja,2020
Ugo Ugochukwu,2020
Ugo Ugochukwu,2021
Emerson Fittipaldi Jr.,2020
Emerson Fittipaldi Jr.,2021
Tiziano Monza,2020
Tiziano Monza,2021
Miguel Costa,2020
Miguel Costa,2021
Miguel Costa,2022
Miguel Costa,2023
Sonny Smith,2021
Maciej Gładysz,2021
Gustaw Wiśniewski,2021
Zachary David,2021
Zachary David,2022
Roberto Faria,2022
Marcus Amand,2023
Léna Bühler,2023
Léna Bühler,2024
Taym Saleh,2023
Taym Saleh,2024
Zane Maloney,2024
Carrie Schreiner,2024
