Driver,Year
Ritomo Miyata,2017
Ritomo Miyata,2018
Ritomo Miyata,2019
Ritomo Miyata,2020
Ritomo Miyata,2021
Ritomo Miyata,2025
Ritomo Miyata,2026
Miki Koyama,2022
Miki Koyama,2023
Miki Koyama,2024
Miki Koyama,2025
Miki Koyama,2026
Rikuto Kobayashi,2024
Rikuto Kobayashi,2025
Rikuto Kobayashi,2026
Jin Nakamura,2024
Jin Nakamura,2025
Jin Nakamura,2026
Yuki Sano,2025
Yuki Sano,2026
Tokiya Suzuki,2025
Tokiya Suzuki,2026
Kiyoshi Umegaki,2025
Kiyoshi Umegaki,2026
Yuzuki Miura,2026
Masana Muto,2026
Kalle Rovanperä,2026
Charlie Wurz,2026
Oscar Wurz,2026
Takashi Kogure,2001
Norihiko Tasaki,2001
Ryan Briscoe,2001
Ryan Briscoe,2002
Ryan Briscoe,2003
Ryan Briscoe,2004
Ryan Briscoe,2005
Katsuyuki Hiranaka,2001
Katsuyuki Hiranaka,2002
Katsuyuki Hiranaka,2003
Katsuyuki Hiranaka,2004
Katsuyuki Hiranaka,2005
Tatsuya Kataoka,2001
Tatsuya Kataoka,2002
Tatsuya Kataoka,2003
Tatsuya Kataoka,2004
Tatsuya Kataoka,2005
Tatsuya Kataoka,2006
Franck Perera,2001
Franck Perera,2002
Franck Perera,2003
Franck Perera,2004
Franck Perera,2005
Franck Perera,2006
Alexander Storckenfeldt,2002
Hiroki Yoshimoto,2002
Hiroki Yoshimoto,2003
Naoki Yokomizo,2002
Naoki Yokomizo,2003
Naoki Yokomizo,2004
Taku Bamba,2002
Taku Bamba,2003
Taku Bamba,2004
Taku Bamba,2005
Wataru Kobayakawa,2002
Wataru Kobayakawa,2003
Wataru Kobayakawa,2004
Kohei Hirate,2002
Kohei Hirate,2003
Kohei Hirate,2004
Kohei Hirate,2005
Kohei Hirate,2006
Kohei Hirate,2007
Kohei Hirate,2008
Kohei Hirate,2009
Kohei Hirate,2010
Kohei Hirate,2011
Roberto Streit,2003
Roberto Streit,2004
Kamui Kobayashi,2003
Kamui Kobayashi,2004
Kamui Kobayashi,2005
Kamui Kobayashi,2006
Kamui Kobayashi,2007
Kamui Kobayashi,2008
Kamui Kobayashi,2009
Kamui Kobayashi,2010
Kamui Kobayashi,2011
Kazuki Nakajima,2003
Kazuki Nakajima,2004
Kazuki Nakajima,2005
Kazuki Nakajima,2006
Kazuki Nakajima,2007
Kazuki Nakajima,2008
Kazuki Nakajima,2009
Kazuki Nakajima,2010
Kazuki Nakajima,2011
Ben Clucas,2004
Daisuke Ikeda,2004
Daisuke Ikeda,2005
Yuhi Sekiguchi,2004
Yuhi Sekiguchi,2005
Yuhi Sekiguchi,2007
Kazuya Oshima,2004
Kazuya Oshima,2005
Kazuya Oshima,2006
Kazuya Oshima,2007
Kazuya Oshima,2008
Kazuya Oshima,2009
Kazuya Oshima,2010
Kazuya Oshima,2011
Hideto Yasuoka,2005
Hideto Yasuoka,2006
Hideki Yamauchi,2005
Hideki Yamauchi,2008
Tsubasa Abe,2006
Yoshifumi Kubota,2006
Sadaomi Masuda,2006
Martin Plowman,2006
Martin Plowman,2007
Henkie Waldschmidt,2006
Henkie Waldschmidt,2007
Henkie Waldschmidt,2008
Keisuke Kunimoto,2006
Keisuke Kunimoto,2007
Keisuke Kunimoto,2008
Keisuke Kunimoto,2009
Takuto Iguchi,2006
Takuto Iguchi,2007
Takuto Iguchi,2008
Takuto Iguchi,2009
Takuto Iguchi,2010
Takuto Iguchi,2011
Takamitsu Matsui,2007
Andrea Caldarelli,2007
Andrea Caldarelli,2008
Hiroaki Ishiura,2007
Hiroaki Ishiura,2008
Hiroaki Ishiura,2009
Hiroaki Ishiura,2010
Hiroaki Ishiura,2011
Kei Cozzolino,2008
Yuji Kunimoto,2008
Yuji Kunimoto,2009
Yuji Kunimoto,2010
Yuji Kunimoto,2011
Yuji Kunimoto,2012
Yuji Kunimoto,2013
Naoya Gamou,2008
Naoya Gamou,2010
Naoya Gamou,2011
Yuichi Nakayama,2008
Yuichi Nakayama,2011
Yuichi Nakayama,2012
Yuichi Nakayama,2013
Yuichi Nakayama,2014
Yuichi Nakayama,2015
Yuichi Nakayama,2016
Takamoto Katsuta,2012
Takamoto Katsuta,2013
Takamoto Katsuta,2014
Ryo Hirakawa,2013
Ryo Hirakawa,2014
Ryo Hirakawa,2015
Ryo Hirakawa,2016
Ryo Hirakawa,2017
Kenta Yamashita,2014
Kenta Yamashita,2015
Kenta Yamashita,2016
Kenta Yamashita,2017
Kenta Yamashita,2018
Kenta Yamashita,2019
Kenta Yamashita,2020
Sho Tsuboi,2016
Sho Tsuboi,2017
Sho Tsuboi,2018
Sho Tsuboi,2019
Sho Tsuboi,2020
Kazuto Kotaka,2019
Kazuto Kotaka,2020
Kazuto Kotaka,2021
Kazuto Kotaka,2022
Kazuto Kotaka,2023
Kazuto Kotaka,2024
Kazuto Kotaka,2025
Hibiki Taira,2021
Hibiki Taira,2022
Hibiki Taira,2023
Hibiki Taira,2024
Hibiki Taira,2025
Seita Nonaka,2022
Seita Nonaka,2023
Seita Nonaka,2024
Seita Nonaka,2025
Esteban Masson,2025
